date,city,temperature_C,load_shedding_hours,day_of_week
2024-01-01,Lahore,33.5,2.21,Monday
2024-01-01,Karachi,35.2,4.41,Monday
2024-01-01,Islamabad,25.6,3.38,Monday
2024-01-02,Lahore,41.1,2.31,Tuesday
2024-01-02,Karachi,29.7,3.87,Tuesday
2024-01-02,Islamabad,24.2,3.26,Tuesday
2024-01-03,Lahore,31.7,0.0,Wednesday
2024-01-03,Karachi,23.4,3.26,Wednesday
2024-01-03,Islamabad,20.9,4.98,Wednesday
2024-01-04,Lahore,23.6,1.94,Thursday
2024-01-04,Karachi,39.3,1.11,Thursday
2024-01-04,Islamabad,27.4,1.3,Thursday
2024-01-05,Lahore,26.2,3.8,Friday
2024-01-05,Karachi,26.2,4.19,Friday
2024-01-05,Islamabad,23.4,3.66,Friday
2024-01-06,Lahore,25.8,6.48,Saturday
2024-01-06,Karachi,31.9,1.09,Saturday
2024-01-06,Islamabad,31.9,0.85,Saturday
2024-01-07,Lahore,31.5,0.0,Sunday
2024-01-07,Karachi,25.4,4.07,Sunday
2024-01-07,Islamabad,31.4,3.02,Sunday
2024-01-08,Lahore,29.2,2.68,Monday
2024-01-08,Karachi,24.6,2.82,Monday
2024-01-08,Islamabad,24.2,5.55,Monday
2024-01-09,Lahore,32.4,0.0,Tuesday
2024-01-09,Karachi,33.6,1.82,Tuesday
2024-01-09,Islamabad,22.9,5.09,Tuesday
2024-01-10,Lahore,37.2,3.19,Wednesday
2024-01-10,Karachi,27.8,2.9,Wednesday
2024-01-10,Islamabad,29.0,4.63,Wednesday
2024-01-11,Lahore,26.6,3.28,Thursday
2024-01-11,Karachi,26.5,1.79,Thursday
2024-01-11,Islamabad,31.9,4.72,Thursday
2024-01-12,Lahore,29.5,4.59,Friday
2024-01-12,Karachi,33.8,1.4,Friday
2024-01-12,Islamabad,29.2,5.45,Friday
2024-01-13,Lahore,29.7,5.39,Saturday
2024-01-13,Karachi,18.9,6.08,Saturday
2024-01-13,Islamabad,27.5,2.96,Saturday
2024-01-14,Lahore,30.6,0.0,Sunday
2024-01-14,Karachi,30.9,3.39,Sunday
2024-01-14,Islamabad,35.9,1.24,Sunday
2024-01-15,Lahore,24.3,3.19,Monday
2024-01-15,Karachi,36.6,2.4,Monday
2024-01-15,Islamabad,23.8,4.8,Monday
2024-01-16,Lahore,30.7,4.34,Tuesday
2024-01-16,Karachi,28.5,2.76,Tuesday
2024-01-16,Islamabad,24.6,1.7,Tuesday
2024-01-17,Lahore,32.1,3.05,Wednesday
2024-01-17,Karachi,32.0,2.31,Wednesday
2024-01-17,Islamabad,18.5,4.28,Wednesday
2024-01-18,Lahore,27.6,2.2,Thursday
2024-01-18,Karachi,31.2,3.41,Thursday
2024-01-18,Islamabad,38.3,1.88,Thursday
2024-01-19,Lahore,31.8,2.59,Friday
2024-01-19,Karachi,22.4,4.23,Friday
2024-01-19,Islamabad,27.4,7.13,Friday
2024-01-20,Lahore,28.7,3.68,Saturday
2024-01-20,Karachi,31.8,0.94,Saturday
2024-01-20,Islamabad,33.9,3.49,Saturday
2024-01-21,Lahore,35.5,0.71,Sunday
2024-01-21,Karachi,39.0,0.0,Sunday
2024-01-21,Islamabad,30.5,6.2,Sunday
2024-01-22,Lahore,23.1,3.31,Monday
2024-01-22,Karachi,32.5,1.83,Monday
2024-01-22,Islamabad,17.7,5.15,Monday
2024-01-23,Lahore,22.6,4.95,Tuesday
2024-01-23,Karachi,27.4,5.76,Tuesday
2024-01-23,Islamabad,22.3,3.8,Tuesday
2024-01-24,Lahore,35.7,0.2,Wednesday
2024-01-24,Karachi,33.1,4.44,Wednesday
2024-01-24,Islamabad,17.4,5.38,Wednesday
2024-01-25,Lahore,31.8,3.87,Thursday
2024-01-25,Karachi,25.8,1.72,Thursday
2024-01-25,Islamabad,30.1,3.42,Thursday
2024-01-26,Lahore,31.8,3.23,Friday
2024-01-26,Karachi,28.6,3.58,Friday
2024-01-26,Islamabad,28.8,2.14,Friday
2024-01-27,Lahore,43.1,1.53,Saturday
2024-01-27,Karachi,26.0,4.64,Saturday
2024-01-27,Islamabad,21.2,5.66,Saturday
2024-01-28,Lahore,38.1,0.42,Sunday
2024-01-28,Karachi,36.8,2.48,Sunday
2024-01-28,Islamabad,31.9,5.52,Sunday
2024-01-29,Lahore,28.3,2.16,Monday
2024-01-29,Karachi,27.6,2.18,Monday
2024-01-29,Islamabad,26.5,4.09,Monday
2024-01-30,Lahore,31.9,3.92,Tuesday
2024-01-30,Karachi,32.1,4.84,Tuesday
2024-01-30,Islamabad,25.4,7.84,Tuesday
2024-01-31,Lahore,34.4,0.98,Wednesday
2024-01-31,Karachi,26.6,4.28,Wednesday
2024-01-31,Islamabad,25.7,4.79,Wednesday
2024-02-01,Lahore,33.3,2.34,Thursday
2024-02-01,Karachi,27.8,1.1,Thursday
2024-02-01,Islamabad,24.3,5.23,Thursday
2024-02-02,Lahore,31.5,0.88,Friday
2024-02-02,Karachi,32.9,3.1,Friday
2024-02-02,Islamabad,21.7,4.61,Friday
2024-02-03,Lahore,30.4,1.22,Saturday
2024-02-03,Karachi,33.8,3.21,Saturday
2024-02-03,Islamabad,33.5,4.0,Saturday
2024-02-04,Lahore,20.4,3.2,Sunday
2024-02-04,Karachi,34.6,3.01,Sunday
2024-02-04,Islamabad,30.1,8.76,Sunday
2024-02-05,Lahore,34.0,4.04,Monday
2024-02-05,Karachi,36.8,2.85,Monday
2024-02-05,Islamabad,25.1,4.95,Monday
2024-02-06,Lahore,24.6,3.55,Tuesday
2024-02-06,Karachi,29.6,3.19,Tuesday
2024-02-06,Islamabad,40.9,0.0,Tuesday
2024-02-07,Lahore,34.8,0.0,Wednesday
2024-02-07,Karachi,29.6,4.69,Wednesday
2024-02-07,Islamabad,27.4,1.82,Wednesday
2024-02-08,Lahore,25.0,4.85,Thursday
2024-02-08,Karachi,28.3,3.6,Thursday
2024-02-08,Islamabad,27.3,2.48,Thursday
2024-02-09,Lahore,45.0,1.45,Friday
2024-02-09,Karachi,21.9,4.63,Friday
2024-02-09,Islamabad,23.0,5.44,Friday
2024-02-10,Lahore,24.5,3.75,Saturday
2024-02-10,Karachi,34.5,3.54,Saturday
2024-02-10,Islamabad,19.8,4.2,Saturday
2024-02-11,Lahore,26.7,2.57,Sunday
2024-02-11,Karachi,40.8,1.8,Sunday
2024-02-11,Islamabad,19.4,6.14,Sunday
2024-02-12,Lahore,44.9,2.07,Monday
2024-02-12,Karachi,24.4,3.21,Monday
2024-02-12,Islamabad,34.6,1.17,Monday
2024-02-13,Lahore,33.1,3.64,Tuesday
2024-02-13,Karachi,27.4,3.35,Tuesday
2024-02-13,Islamabad,7.6,5.2,Tuesday
2024-02-14,Lahore,28.2,1.42,Wednesday
2024-02-14,Karachi,40.2,0.0,Wednesday
2024-02-14,Islamabad,24.4,4.14,Wednesday
2024-02-15,Lahore,40.1,0.0,Thursday
2024-02-15,Karachi,37.8,1.71,Thursday
2024-02-15,Islamabad,21.1,5.17,Thursday
2024-02-16,Lahore,31.4,1.87,Friday
2024-02-16,Karachi,32.3,2.03,Friday
2024-02-16,Islamabad,27.7,4.38,Friday
2024-02-17,Lahore,41.1,0.0,Saturday
2024-02-17,Karachi,42.7,0.0,Saturday
2024-02-17,Islamabad,26.1,4.53,Saturday
2024-02-18,Lahore,32.0,1.74,Sunday
2024-02-18,Karachi,31.0,2.1,Sunday
2024-02-18,Islamabad,23.5,5.36,Sunday
2024-02-19,Lahore,32.5,1.54,Monday
2024-02-19,Karachi,36.5,2.38,Monday
2024-02-19,Islamabad,31.9,3.63,Monday
2024-02-20,Lahore,24.2,3.13,Tuesday
2024-02-20,Karachi,35.7,2.96,Tuesday
2024-02-20,Islamabad,26.9,3.7,Tuesday
2024-02-21,Lahore,38.9,0.62,Wednesday
2024-02-21,Karachi,34.7,1.91,Wednesday
2024-02-21,Islamabad,25.7,5.37,Wednesday
2024-02-22,Lahore,35.8,3.26,Thursday
2024-02-22,Karachi,38.5,1.61,Thursday
2024-02-22,Islamabad,31.1,2.35,Thursday
2024-02-23,Lahore,32.3,2.43,Friday
2024-02-23,Karachi,32.5,3.48,Friday
2024-02-23,Islamabad,22.1,7.46,Friday
2024-02-24,Lahore,23.0,2.35,Saturday
2024-02-24,Karachi,37.8,2.89,Saturday
2024-02-24,Islamabad,30.7,3.82,Saturday
2024-02-25,Lahore,29.9,1.67,Sunday
2024-02-25,Karachi,32.4,1.59,Sunday
2024-02-25,Islamabad,32.9,2.3,Sunday
2024-02-26,Lahore,24.2,3.48,Monday
2024-02-26,Karachi,34.1,1.48,Monday
2024-02-26,Islamabad,22.1,4.69,Monday
2024-02-27,Lahore,31.7,1.95,Tuesday
2024-02-27,Karachi,29.6,3.41,Tuesday
2024-02-27,Islamabad,18.3,2.84,Tuesday
2024-02-28,Lahore,25.0,3.52,Wednesday
2024-02-28,Karachi,33.6,4.62,Wednesday
2024-02-28,Islamabad,32.1,2.4,Wednesday
2024-02-29,Lahore,29.9,1.52,Thursday
2024-02-29,Karachi,31.9,2.25,Thursday
2024-02-29,Islamabad,28.9,1.94,Thursday
2024-03-01,Lahore,33.6,4.69,Friday
2024-03-01,Karachi,31.5,3.36,Friday
2024-03-01,Islamabad,31.1,2.21,Friday
2024-03-02,Lahore,31.6,2.76,Saturday
2024-03-02,Karachi,32.5,1.43,Saturday
2024-03-02,Islamabad,27.1,4.22,Saturday
